id,text
1903619415037665585,@vincentiusfel Kak @vincentiusfel ada kendala saat akses di MyTelkomsel nya? Ada yang bisa Dhea bantu terkait layanan IndiHome nya? 🙂 -Dhea
1903615942791491697,"@IndiHomeCare lemot min, indihome nya ? Disaya lemot bingit dlm 2hr ini"
1903615002457878854,@IndiHomeCare Bener bener kampret. Pagi pagi indihome loading melulu
1903613673366851609,"indihome ini ngentot sekali yaa, dari kemaren jaringan kayak gada internetnya mulu sialan @IndiHomeCare"
1903610952454688771,Guys ada yg tv nya pake indihome ga ya? Kenapa semua app ku ga bisa semua ya mau netflix atau yt juga lemot bgtt tapi klo internetan aman ada yg tauu??
1903609649414471782,"@masbucol @IndiHome lohh sama bgt kakk, kirain aku doang"
1903604980193575335,Indihome @IndiHome kenapa si udah 24 jam tidak ada internet padahal baru bayar aneh banget
1903596989323108817,"ga jelas banget anjir indihome, sinting. tiap akhir bulan ada aja problemnya"
1903595011553525854,@xKeshiii iNdIhomE jleg
1903590007136530859,"@githaishal Kak Gita maafin ya :( pastikan kabel patch cord (kabel warna hitam/kuning dgn ujung kabel warna biru) terpasang dgn benar. Kalo masih sama, infoin ke DM nomor IndiHome dan nama lengkap biar dicek jaringannya :) -Nesya"
1903589649463074928,@randooomzz @be4sismongcake KIRAIN SI INDIHOME MELIHAT HUNTU IH KAK RAAAN😭😭😭😭
1901919467715575823,"@bellaakyl Wuih, mksh ya, Kak udh rekomendasiin IndiHome. Btw, Kakak berlangganan IndiHome udh dari kapan ni?😍 -Indah"
1901918349694779745,"@fatihaW26 Selamat berkonser ria Kak😍Terus setia, bersama IndiHome ya :) -Indah"
1901918051035217927,"@fromutia Wah, senangnyaaa 😍Kak Mutia udah langganan IndiHome belum? 🤭-Indah"
1901917645664047275,admin @taspen ini lambat ya responnya ga kaya admin indihome😭😭😭
1901917358601715927,"IHSG yg down, berimbas ke sinyal telkomsel sama indihome juga ikut2an down ya?"
1901915842423722005,"@theyycallmebass Maafin IndiHome ya, Kak Farah 🙏Jarak modem sama devicenya jauh nggak Kak? -Indah"
